,precision,recall,f1-score,support
0,0.24779874213836478,0.6396103896103896,0.357207615593835,308.0
1,0.6805555555555556,0.1361111111111111,0.22685185185185186,360.0
2,0.24079320113314448,0.275974025974026,0.25718608169440244,308.0
3,0.6206896551724138,0.2,0.3025210084033613,360.0
accuracy,0.30164670658682635,0.30164670658682635,0.30164670658682635,0.30164670658682635
macro avg,0.4474592884998696,0.3129238816738817,0.2859416393858627,1336.0
weighted avg,0.46327439699827383,0.30164670658682635,0.28428704225797446,1336.0
