,precision,recall,f1-score,support
0,0.2727272727272727,0.16558441558441558,0.20606060606060606,308.0
1,0.46747967479674796,0.6388888888888888,0.539906103286385,360.0
2,0.25595238095238093,0.1396103896103896,0.18067226890756302,308.0
3,0.48261758691206547,0.6555555555555556,0.5559481743227326,360.0
accuracy,0.41916167664670656,0.41916167664670656,0.41916167664670656,0.41916167664670656
macro avg,0.3696942288471168,0.3999098124098124,0.37064678814432167,1336.0
weighted avg,0.3778954697219358,0.41916167664670656,0.38444705496218445,1336.0
