,precision,recall,f1-score,support
0,0.23706896551724138,0.17857142857142858,0.2037037037037037,308.0
1,0.4611764705882353,0.5444444444444444,0.49936305732484076,360.0
2,0.24152542372881355,0.18506493506493507,0.20955882352941177,308.0
3,0.4492099322799097,0.5527777777777778,0.49564134495641343,360.0
accuracy,0.37949101796407186,0.37949101796407186,0.37949101796407186,0.37949101796407186
macro avg,0.34724519802855,0.36521464646464646,0.35206673237859243,1336.0
weighted avg,0.3556483360182014,0.37949101796407186,0.36338805629419996,1336.0
