,precision,recall,f1-score,support
0,0.22538552787663108,0.6168831168831169,0.3301476976542137,308.0
1,0.8571428571428571,0.03333333333333333,0.06417112299465241,360.0
2,0.2231578947368421,0.34415584415584416,0.2707535121328225,308.0
3,0.75,0.008333333333333333,0.016483516483516484,360.0
accuracy,0.23278443113772454,0.23278443113772454,0.23278443113772454,0.23278443113772454
macro avg,0.5139215699390826,0.2506764069264069,0.1703889623163013,1336.0
weighted avg,0.5364691637248341,0.23278443113772454,0.1602644033132844,1336.0
