,precision,recall,f1-score,support
0,0.6799410029498525,0.6901197604790419,0.6849925705794948,668.0
1,0.6854103343465046,0.6751497005988024,0.6802413273001509,668.0
accuracy,0.6826347305389222,0.6826347305389222,0.6826347305389222,0.6826347305389222
macro avg,0.6826756686481785,0.6826347305389222,0.6826169489398228,1336.0
weighted avg,0.6826756686481785,0.6826347305389222,0.6826169489398228,1336.0
