rush_adv_team1,rush_adv_team2,pass_adv_team1,pass_adv_team2,score_adv_team1,score_adv_team2,turnover_adv_team1,turnover_adv_team2,pred_rank_team1,pred_rank_team2,sos_team1,sos_team2,WinPct_team1,WinPct_team2,week,label
-122.0,-52.0,22.0,-366.0,-7.0,-34.0,4.0,0.0,-9.0,-5.1,-17.1,-5.4,33.3,53.9,3,1
-52.0,-122.0,-366.0,22.0,-34.0,-7.0,0.0,4.0,-5.1,-9.0,-5.4,-17.1,53.9,33.3,3,0
3.5,-31.5,175.0,297.0,12.0,16.0,1.0,1.0,7.4,-5.1,-18.2,2.0,84.6,53.9,3,1
-31.5,3.5,297.0,175.0,16.0,12.0,1.0,1.0,-5.1,7.4,2.0,-18.2,53.9,84.6,3,0
-78.5,-31.0,-186.0,48.0,-21.0,-20.0,2.0,0.5,-22.9,9.6,-20.6,-0.7,64.3,53.9,3,1
-31.0,-78.5,48.0,-186.0,-20.0,-21.0,0.5,2.0,9.6,-22.9,-0.7,-20.6,53.9,64.3,3,0
-78.5,78.5,-77.0,49.0,-11.5,1.0,1.0,0.5,10.3,-18.2,4.1,3.9,61.5,78.6,3,1
78.5,-78.5,49.0,-77.0,1.0,-11.5,0.5,1.0,-18.2,10.3,3.9,4.1,78.6,61.5,3,0
46.5,357.5,84.0,-313.0,18.0,11.0,-1.0,-1.0,13.6,3.3,2.9,-17.0,41.7,41.7,3,1
357.5,46.5,-313.0,84.0,11.0,18.0,-1.0,-1.0,3.3,13.6,-17.0,2.9,41.7,41.7,3,0
-7.0,-56.0,-110.0,-68.0,-10.0,-14.0,1.0,2.0,0.6,-16.8,0.5,-24.1,25.0,41.7,3,1
-56.0,-7.0,-68.0,-110.0,-14.0,-10.0,2.0,1.0,-16.8,0.6,-24.1,0.5,41.7,25.0,3,0
28.0,-128.5,7.0,-8.0,-32.0,-18.5,1.0,1.0,6.9,-16.5,10.2,-16.0,61.5,0.0,3,1
-128.5,28.0,-8.0,7.0,-18.5,-32.0,1.0,1.0,-16.5,6.9,-16.0,10.2,0.0,61.5,3,0
152.0,66.0,183.5,135.0,59.5,15.0,0.5,-3.0,23.4,25.9,-7.8,11.1,76.9,69.2,3,1
66.0,152.0,135.0,183.5,15.0,59.5,-3.0,0.5,25.9,23.4,11.1,-7.8,69.2,76.9,3,0
-40.0,52.0,63.0,146.0,10.0,2.0,2.0,-2.0,8.0,-18.7,-9.0,-27.5,76.9,69.2,3,1
52.0,-40.0,146.0,63.0,2.0,10.0,-2.0,2.0,-18.7,8.0,-27.5,-9.0,69.2,76.9,3,0
149.0,-120.0,46.0,68.0,10.0,35.0,-1.0,1.0,5.8,5.7,-3.1,-22.7,46.2,76.9,3,1
-120.0,149.0,68.0,46.0,35.0,10.0,1.0,-1.0,5.7,5.8,-22.7,-3.1,76.9,46.2,3,0
-1.0,108.0,7.0,0.0,15.0,17.0,-3.0,-2.0,3.1,-14.6,-23.6,-22.8,46.2,41.7,3,1
108.0,-1.0,0.0,7.0,17.0,15.0,-2.0,-3.0,-14.6,3.1,-22.8,-23.6,41.7,46.2,3,0
200.0,121.0,-141.0,169.0,9.0,31.0,-1.0,0.0,4.9,9.3,-2.0,-19.2,33.3,69.2,3,1
121.0,200.0,169.0,-141.0,31.0,9.0,0.0,-1.0,9.3,4.9,-19.2,-2.0,69.2,33.3,3,0
162.5,345.5,83.0,-64.0,26.0,50.0,-2.0,0.5,18.5,21.0,2.9,-10.2,87.5,53.9,3,1
345.5,162.5,-64.0,83.0,50.0,26.0,0.5,-2.0,21.0,18.5,-10.2,2.9,53.9,87.5,3,0
107.0,81.0,-132.5,221.5,10.0,26.0,0.5,-3.0,25.8,-3.4,7.1,-25.5,87.5,61.5,3,1
81.0,107.0,221.5,-132.5,26.0,10.0,-3.0,0.5,-3.4,25.8,-25.5,7.1,61.5,87.5,3,0
-131.5,103.0,98.5,266.0,3.5,30.0,1.0,1.5,18.3,-4.3,9.0,-9.7,46.2,25.0,3,1
103.0,-131.5,266.0,98.5,30.0,3.5,1.5,1.0,-4.3,18.3,-9.7,9.0,25.0,46.2,3,0
-1.0,-45.5,-35.5,143.5,0.5,-4.0,-0.5,2.0,11.3,-19.9,5.8,-20.7,92.9,25.0,3,1
-45.5,-1.0,143.5,-35.5,-4.0,0.5,2.0,-0.5,-19.9,11.3,-20.7,5.8,25.0,92.9,3,0
