,precision,recall,f1-score,support
0,0.5205673758865248,0.5062068965517241,0.5132867132867133,725.0
1,0.505524861878453,0.5198863636363636,0.5126050420168067,704.0
accuracy,0.5129461161651504,0.5129461161651504,0.5129461161651504,0.5129461161651504
macro avg,0.5130461188824889,0.5130466300940439,0.5129458776517599,1429.0
weighted avg,0.5131566482016525,0.5129461161651504,0.5129508864329594,1429.0
