,precision,recall,f1-score,support
0,0.5099866844207723,0.5253772290809328,0.5175675675675676,729.0
1,0.4896755162241888,0.4742857142857143,0.4818577648766328,700.0
accuracy,0.5003498950314905,0.5003498950314905,0.5003498950314905,0.5003498950314905
macro avg,0.49983110032248057,0.49983147168332354,0.4997126662221002,1429.0
weighted avg,0.5000371968507173,0.5003498950314905,0.5000750120156751,1429.0
