,precision,recall,f1-score,support
0,0.4605263157894737,0.44241573033707865,0.4512893982808023,712.0
1,0.4671140939597315,0.48535564853556484,0.47606019151846785,717.0
accuracy,0.4639608117564731,0.4639608117564731,0.4639608117564731,0.4639608117564731
macro avg,0.4638202048746026,0.46388568943632175,0.46367479489963503,1429.0
weighted avg,0.46383173002885425,0.4639608117564731,0.4637181307870347,1429.0
