rush_adv_team1,rush_adv_team2,pass_adv_team1,pass_adv_team2,score_adv_team1,score_adv_team2,turnover_adv_team1,turnover_adv_team2,pred_rank_team1,pred_rank_team2,sos_team2,sos_team2,week,label
104.5,153.0,111.0,-71.0,15.0,20.5,0.0,-0.5,4.0,5.7,-2.2,-23.7,4,1
153.0,104.5,-71.0,111.0,20.5,15.0,-0.5,0.0,5.7,4.0,-23.7,-2.2,4,0
89.0,-92.0,150.0,47.0,15.0,-8.0,1.0,3.0,15.8,8.5,-9.8,5.5,4,1
-92.0,89.0,47.0,150.0,-8.0,15.0,3.0,1.0,8.5,15.8,5.5,-9.8,4,0
-163.0,152.0,42.0,21.0,-19.0,11.0,0.0,-1.0,26.2,-4.1,20.3,-18.0,4,1
152.0,-163.0,21.0,42.0,11.0,-19.0,-1.0,0.0,-4.1,26.2,-18.0,20.3,4,0
-5.0,-39.0,-51.0,-14.0,21.0,-19.0,0.0,1.0,4.7,-1.2,-21.7,-4.8,4,1
-39.0,-5.0,-14.0,-51.0,-19.0,21.0,1.0,0.0,-1.2,4.7,-4.8,-21.7,4,0
75.0,20.0,-79.0,-9.0,-11.0,5.0,-2.0,0.0,-20.8,4.5,-22.6,-0.3,4,1
20.0,75.0,-9.0,-79.0,5.0,-11.0,0.0,-2.0,4.5,-20.8,-0.3,-22.6,4,0
26.0,-37.0,43.0,-41.0,-10.0,-10.0,1.0,0.0,-8.4,-3.4,-16.6,-8.9,4,1
-37.0,26.0,-41.0,43.0,-10.0,-10.0,0.0,1.0,-3.4,-8.4,-8.9,-16.6,4,0
-238.5,-62.0,162.5,126.5,11.0,22.5,0.0,1.0,-4.6,4.6,1.5,-16.9,4,1
-62.0,-238.5,126.5,162.5,22.5,11.0,1.0,0.0,4.6,-4.6,-16.9,1.5,4,0
-220.0,-270.5,-222.0,24.5,-41.0,-16.5,-1.0,1.0,-8.8,-28.9,-8.2,-0.8,4,1
-270.5,-220.0,24.5,-222.0,-16.5,-41.0,1.0,-1.0,-28.9,-8.8,-0.8,-8.2,4,0
79.5,123.0,53.5,82.0,16.0,25.5,0.5,-0.5,4.2,13.1,-3.2,1.9,4,1
123.0,79.5,82.0,53.5,25.5,16.0,-0.5,0.5,13.1,4.2,1.9,-3.2,4,0
31.0,35.5,103.5,101.5,16.0,15.0,-0.5,1.0,32.0,0.3,20.2,-9.5,4,1
35.5,31.0,101.5,103.5,15.0,16.0,1.0,-0.5,0.3,32.0,-9.5,20.2,4,0
-237.5,-75.5,-118.5,72.0,-14.5,-20.0,-0.5,-0.5,-15.1,-12.0,2.5,-18.3,4,1
-75.5,-237.5,72.0,-118.5,-20.0,-14.5,-0.5,-0.5,-12.0,-15.1,-18.3,2.5,4,0
-192.5,144.0,-166.5,-94.0,-10.5,-1.5,-4.0,-1.5,19.9,-5.1,10.6,-5.7,4,1
144.0,-192.5,-94.0,-166.5,-1.5,-10.5,-1.5,-4.0,-5.1,19.9,-5.7,10.6,4,0
-203.0,21.0,77.0,-39.0,-20.0,-17.0,3.0,0.0,8.7,-25.9,4.3,-19.5,4,1
21.0,-203.0,-39.0,77.0,-17.0,-20.0,0.0,3.0,-25.9,8.7,-19.5,4.3,4,0
47.0,22.0,-33.0,118.0,7.0,15.0,0.0,-1.0,2.3,3.5,-5.4,-3.9,4,1
22.0,47.0,118.0,-33.0,15.0,7.0,-1.0,0.0,3.5,2.3,-3.9,-5.4,4,0
21.0,124.0,-34.0,-84.0,-21.0,-3.0,-1.0,1.0,7.1,-17.6,-3.6,-17.0,4,1
124.0,21.0,-84.0,-34.0,-3.0,-21.0,1.0,-1.0,-17.6,7.1,-17.0,-3.6,4,0
195.5,-54.5,131.5,-250.0,33.0,-20.5,-0.5,2.0,1.9,5.9,-10.7,-0.8,4,1
-54.5,195.5,-250.0,131.5,-20.5,33.0,2.0,-0.5,5.9,1.9,-0.8,-10.7,4,0
107.0,120.0,-50.0,-57.5,3.5,20.5,-1.0,1.5,16.6,-12.2,-1.4,-6.9,4,1
120.0,107.0,-57.5,-50.0,20.5,3.5,1.5,-1.0,-12.2,16.6,-6.9,-1.4,4,0
115.0,19.5,-91.5,-110.0,-2.0,-2.0,0.0,1.5,4.0,-8.2,-7.1,8.4,4,1
19.5,115.0,-110.0,-91.5,-2.0,-2.0,1.5,0.0,-8.2,4.0,8.4,-7.1,4,0
86.0,20.5,-32.5,-176.5,21.0,-28.5,0.0,-0.5,4.9,3.4,4.7,0.8,4,1
20.5,86.0,-176.5,-32.5,-28.5,21.0,-0.5,0.0,3.4,4.9,0.8,4.7,4,0
66.0,-55.0,67.0,96.0,3.0,11.0,-2.0,1.0,13.5,8.9,-1.5,7.4,4,1
-55.0,66.0,96.0,67.0,11.0,3.0,1.0,-2.0,8.9,13.5,7.4,-1.5,4,0
57.5,-21.0,86.0,293.5,20.5,25.0,0.0,0.5,15.1,9.6,5.1,-8.1,4,1
-21.0,57.5,293.5,86.0,25.0,20.5,0.5,0.0,9.6,15.1,-8.1,5.1,4,0
-2.5,-56.5,149.5,140.5,26.0,6.0,1.0,-1.5,10.2,7.7,2.3,-6.7,4,1
-56.5,-2.5,140.5,149.5,6.0,26.0,-1.5,1.0,7.7,10.2,-6.7,2.3,4,0
24.5,-113.0,216.0,3.5,8.5,-10.0,0.0,-1.0,22.3,-3.8,13.2,-6.7,4,1
-113.0,24.5,3.5,216.0,-10.0,8.5,-1.0,0.0,-3.8,22.3,-6.7,13.2,4,0
