f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,label
138.0,230.0,211.3,176.3,27.0,27.0,2.0,1.7,20.0,-1.6,3.7,187.3,256.7,267.0,267.3,25.7,41.7,1.7,0.7,88.9,2.2,5.9,1
119.0,123.7,307.7,316.7,29.3,28.3,1.0,1.3,80.0,9.0,4.8,175.3,128.3,172.0,287.0,31.3,29.7,1.7,1.7,9.1,6.3,0.9,1
98.0,180.0,326.0,276.3,34.0,46.3,1.0,1.0,90.9,11.4,6.7,221.7,201.0,86.3,267.3,12.7,38.0,2.0,1.0,50.0,-8.3,1.0,1
136.7,110.7,174.0,211.0,35.3,20.3,0.3,2.3,40.0,2.1,-1.3,198.0,239.3,287.7,197.3,40.0,31.7,1.7,2.3,81.8,-4.6,-4.6,0
52.0,25.0,247.0,219.0,28.0,14.0,1.0,1.0,70.0,4.6,1.0,80.0,199.0,341.0,217.0,24.0,31.0,3.0,2.0,50.0,-5.0,-5.2,0
103.7,176.7,176.7,200.0,16.0,23.7,1.0,1.3,50.0,12.1,7.3,101.0,197.7,210.0,296.0,17.7,35.3,1.3,0.3,30.0,-6.6,-3.2,0
68.3,191.3,284.0,141.0,15.7,32.3,5.7,1.7,50.0,-16.7,-11.4,163.3,216.7,200.3,189.3,24.3,24.7,0.7,2.3,30.0,-12.5,-8.6,0
207.0,189.7,163.7,126.0,23.7,24.0,0.7,2.0,50.0,-1.3,-6.8,218.0,202.3,189.7,280.0,35.0,37.7,0.7,0.7,60.0,-1.0,-3.6,0
144.7,145.0,210.0,237.3,27.7,28.0,2.0,0.7,50.0,10.2,2.7,126.0,157.7,185.7,144.3,17.0,14.0,2.0,1.3,50.0,7.1,1.9,0
179.7,126.0,224.0,146.7,37.7,19.7,0.0,2.0,50.0,-5.0,-8.3,105.0,133.0,132.3,163.0,12.0,24.7,3.0,2.0,50.0,-10.4,-5.7,1
259.3,105.0,266.3,207.3,37.7,11.3,2.0,3.0,70.0,0.7,-3.4,192.3,80.7,304.0,213.3,23.0,19.3,2.3,0.7,70.0,2.1,-4.0,0
272.7,181.0,37.0,173.0,22.7,27.0,2.3,0.3,55.6,-1.5,-9.2,183.3,152.7,118.0,224.3,16.7,26.7,1.3,1.0,77.8,-8.1,-0.5,1
139.7,144.3,230.7,190.0,21.0,21.0,0.3,1.7,70.0,-7.0,-6.3,118.7,179.7,205.0,237.3,11.3,35.7,3.7,1.3,50.0,-15.2,-8.7,0
119.7,105.0,245.3,202.7,26.0,20.7,1.7,1.7,66.7,10.4,2.1,92.0,127.7,294.0,289.0,23.7,33.7,2.0,2.7,100.0,2.0,-0.1,1
216.5,29.0,299.5,87.0,55.0,0.0,1.0,2.0,30.0,26.3,-4.9,170.5,133.5,226.0,138.5,32.0,21.0,2.5,2.5,77.8,15.6,-5.6,1
225.0,174.7,287.3,364.0,47.0,37.7,1.0,2.0,10.0,17.4,8.2,201.0,137.0,281.0,232.7,34.3,25.3,1.3,2.3,18.2,-2.1,-2.3,1
232.3,132.0,224.3,164.7,43.3,16.0,0.3,2.0,88.9,24.2,5.9,128.0,184.0,262.7,204.0,24.0,23.0,2.3,2.3,80.0,-0.3,-3.4,1
132.3,120.7,235.7,282.0,21.3,27.3,2.3,2.3,30.0,3.6,1.1,161.7,91.3,220.0,198.3,27.7,27.0,1.3,1.3,70.0,2.7,1.5,0
