Factor,Linear Slope,Linear Intercept,Linear R²,Poly2 Coefficients,Poly2 Intercept,Poly2 R²,Poly3 Coefficients,Poly3 Intercept,Poly3 R²,Exponential Slope,Exponential Intercept,Exponential R²
RushD,-0.022531511506371588,55.731775389639886,0.0016677028993616894,[ 0.          0.19809488 -0.00067264],38.59671829151987,0.004898750977543109,[ 0.00000000e+00  9.21371772e-01 -5.17495613e-03  8.93984512e-06],1.6645359208260047,0.00649293293672204,-0.004370305546422495,4.426731088686695,-0.3058329570189968
PassD,-0.04205829675775535,61.622817198466244,0.004524979991828659,[ 0.          1.30951552 -0.0029362 ],-90.66302228500473,0.04710221429022565,[ 0.00000000e+00  2.69762264e+00 -8.85109309e-03  8.24059092e-06],-197.12953230851812,0.047975431080960806,-0.0013345894058212641,4.037428242063366,-0.2413212484246472
RushO,0.0217090641665092,48.81552902904929,0.0020420557290231622,[ 0.         -0.26670911  0.00088027],70.76783279462194,0.013959744570281263,[ 0.00000000e+00 -6.08669939e-01  2.97633699e-03 -4.01109788e-06],88.05907267680743,0.014904273547582947,0.0016208094964548611,3.4866031056989066,-0.24759990663122133
PassO,-0.02228211770007886,57.1527870773291,0.0028347078856987284,[ 0.         -0.1241418   0.00022798],67.98301271657884,0.004666847808649566,[ 0.00000000e+00 -2.14236955e+00  9.77189288e-03 -1.41884359e-05],200.66886466297947,0.05243069283909363,0.001015766707967501,3.511085613201612,-0.264737714897298
ScoreD,-0.3359265129190195,61.312288760542515,0.011210109580383154,[ 0.          0.49526192 -0.01460749],50.12181831316809,0.012871018295950054,[ 0.00000000e+00  7.98311938e+00 -2.87605931e-01  3.15528378e-03],-14.752919660040398,0.01975603633252765,-0.014877241366222942,4.142235052715278,-0.23489659585638734
ScoreO,0.01382522479075616,51.81261563343122,1.6450163786818628e-05,[ 0.          0.58293081 -0.01078729],44.69725702581467,0.0005832004629924281,[ 0.00000000e+00 -2.70913147e+00  1.19259656e-01 -1.63686002e-03],71.05560738523795,0.0016098061113349882,0.024912851227860328,3.076032774853639,-0.3189262230540699
TurnD,3.849287226139243,46.842555473009924,0.0056004622779123325,[  0.         -37.08259418  14.79610023],72.79938598651026,0.02988826659272914,[ 0.00000000e+00 -3.70731464e+01  1.47886980e+01  1.78124239e-03],72.79576970090002,0.029888266697051358,0.39556868617173685,3.189302482090485,-0.26948679413586496
TurnO,-3.799167236470145,57.535542469919484,0.005619925961779737,[  0.         -12.92441093   3.25530307],63.39735239516849,0.00664764204009749,[  0.          23.53782243 -23.22841832   5.99034339],48.049043628014175,0.0075334479819212374,-0.06097656637584378,3.823743790143512,-0.24053914019861877
