f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,label
174.4,230.9,181.3,209.4,24.3,33.5,1.7,1.4,20.0,-1.6,3.7,229.5,255.9,269.9,285.9,34.8,43.5,1.2,1.0,88.9,2.2,5.9,1
137.0,136.5,315.8,283.0,31.7,25.5,0.8,1.7,80.0,9.0,4.8,141.8,123.0,165.3,239.3,27.0,24.2,1.8,2.3,9.1,6.3,0.9,1
140.6,140.4,358.9,202.5,37.8,28.9,1.5,1.3,90.9,11.4,6.7,184.8,200.5,160.0,249.0,15.1,33.1,2.0,1.5,50.0,-8.3,1.0,0
125.1,151.9,185.8,224.9,26.3,22.6,0.8,1.8,40.0,2.1,-1.3,151.0,245.6,250.7,194.9,25.6,31.9,2.0,1.7,81.8,-4.6,-4.6,1
52.0,25.0,247.0,219.0,28.0,14.0,1.0,1.0,70.0,4.6,1.0,80.0,199.0,341.0,217.0,24.0,31.0,3.0,2.0,50.0,-5.0,-5.2,1
120.7,136.8,203.8,200.8,22.8,19.2,1.2,1.7,50.0,12.1,7.3,104.8,149.2,193.3,234.5,17.8,28.2,1.7,0.8,30.0,-6.6,-3.2,0
84.4,191.0,244.0,220.4,14.2,37.6,4.4,1.8,50.0,-16.7,-11.4,140.7,220.2,177.3,208.8,18.0,29.5,2.0,2.7,30.0,-12.5,-8.6,0
186.5,157.0,225.7,189.0,30.7,23.7,1.0,1.7,50.0,-1.3,-6.8,199.2,227.4,204.2,273.0,38.4,41.2,0.8,0.8,60.0,-1.0,-3.6,1
199.5,116.8,203.8,227.1,30.5,21.5,1.8,1.4,50.0,10.2,2.7,145.3,149.4,179.5,197.5,22.3,17.1,1.6,1.6,50.0,7.1,1.9,1
195.5,138.9,225.9,234.3,31.4,28.4,0.8,1.5,50.0,-5.0,-8.3,112.9,144.4,172.5,206.4,18.1,26.5,2.0,1.8,50.0,-10.4,-5.7,1
157.4,208.9,308.5,266.8,34.8,29.8,1.6,1.9,70.0,0.7,-3.4,185.4,100.6,359.4,262.4,33.6,25.3,1.7,1.0,70.0,2.1,-4.0,0
296.0,120.7,43.7,175.5,26.2,18.7,1.7,1.5,55.6,-1.5,-9.2,185.4,212.6,107.2,197.8,18.4,32.0,1.1,1.0,77.8,-8.1,-0.5,1
116.7,150.9,191.9,228.5,20.6,24.7,2.0,1.6,70.0,-7.0,-6.3,136.9,166.4,222.5,221.1,22.9,36.0,2.7,0.9,50.0,-15.2,-8.7,1
142.0,104.0,219.8,179.5,27.8,17.3,1.5,1.8,66.7,10.4,2.1,163.5,157.5,247.7,212.2,27.8,25.8,1.5,2.2,100.0,2.0,-0.1,1
216.5,29.0,299.5,87.0,55.0,0.0,1.0,2.0,30.0,26.3,-4.9,170.5,133.5,226.0,138.5,32.0,21.0,2.5,2.5,77.8,15.6,-5.6,0
199.2,148.1,337.6,304.3,41.1,32.1,1.8,1.4,10.0,17.4,8.2,164.1,186.1,228.7,240.5,28.3,31.1,1.5,1.9,18.2,-2.1,-2.3,1
242.0,112.5,218.8,194.0,42.8,16.3,0.5,2.0,88.9,24.2,5.9,140.3,167.0,239.5,197.5,26.8,19.0,1.8,2.3,80.0,-0.3,-3.4,1
128.5,90.9,206.3,215.6,23.5,19.4,1.9,2.4,30.0,3.6,1.1,168.0,137.2,196.0,177.1,27.7,25.9,1.9,2.1,70.0,2.7,1.5,1
